Timestamp,"Write a question relevant to our subjects which profs ask(eg. What is NLP?, Can someone tell me the difference between ML and AI? etc.)",Is the question difficult?,Is the question interesting?
10/13/2021 11:08:35,Explain the six key points of success defined by Arnold.,No,Yes
10/13/2021 11:09:07,"How was the government responsible for the economic slowdown caused before the pandemic, in india?",No,Yes
10/13/2021 11:11:32,What is a Losless Compression Algorithm?,Yes,Yes
10/13/2021 11:12:25,What does Oculus work on?,No,Yes
10/13/2021 11:13:30,What are the various levels of RAID in OS ?,No,No
10/13/2021 11:14:17,What are the different kinds of operations that are possible on semaphore?,No,No
10/13/2021 11:14:44,What is the difference between NP-Hard and NP-Complete,Yes,No
10/13/2021 11:15:10,Is it  possible to build a decentralized internet which is not controllable by anyone?,Yes,Yes
10/13/2021 11:15:28,How can machines make meaning out of language,No,Yes
10/13/2021 11:15:58,Why does Germany have the lowest inflation rate among all the countries?,Yes,Yes
10/13/2021 11:16:09,What is reverse engineering?,No,Yes
10/13/2021 11:16:19,How can we resolve ambiguity in language?,Yes,Yes
10/13/2021 11:16:32,Can someone summarize the topics discussed in class.,No,No
10/13/2021 11:16:55,Why was Machine Learning Introduced,No,Yes
10/13/2021 11:17:17,What's the main purpose of an OS?,No,No
10/13/2021 11:17:21,What is 'Naive' in a Naive Bayes,No,Yes
10/13/2021 11:17:37,What is Unsupervised Learning,No,No
10/13/2021 11:17:54,What's the trade-off between bias and variance,No,No
10/13/2021 11:20:40,What is the difference between paging and segmentation?,No,Yes
10/13/2021 11:20:56,Are threads useful without multiple cores?,No,Yes
10/13/2021 11:21:02,What is starvation and aging in OS?,No,Yes
10/13/2021 11:21:12,What are various types of Operating System?,No,Yes
10/13/2021 11:21:24,How can we parallelize this program?,Yes,Yes
10/13/2021 11:22:30,Write difference between micro kernel and monolithic kernel?,No,No
10/13/2021 11:22:55,How can you overcome overfitting? ,Yes,Yes
10/13/2021 11:23:09,"Is it possible capture the correlation between continuous and categorical variable? If yes, how?",Yes,Yes
10/13/2021 11:23:27,Simple random sampling of training data set into training and validation set works well for the regression problem. But what can go wrong with this approach for a classification problem? What can be done about it?,Yes,Yes
10/13/2021 11:23:38,"Which is more important to you – model accuracy, or model performance?",No,Yes
10/13/2021 11:23:40,What are the two modes of 8086?,No,No
10/13/2021 11:23:53,Let’s say you have a extremely small memory/storage. What kind of algorithm would you prefer — logistic regression or k-nearest neighbor? Why? ,Yes,Yes
10/13/2021 11:24:52,"Is the role of strategic management changing in the context of current economic processes and the development of new information technologies typical of the current fourth technological revolution, known as Industry 4.0?",Yes,Yes
10/13/2021 11:25:59,Is it clear?,No,No
10/13/2021 11:26:16,Do you have any doubts?,No,No
10/13/2021 11:26:29,Why was demonetization a blunder ? How did it back fire?,No,Yes
10/13/2021 11:26:51,What architecture does Mac M1 chip uses ARM or x86?,No,Yes
10/13/2021 11:28:06,What were the factors contributing to the 'Emu bubble burst' of 2012? How was the scam carried out?,Yes,Yes
10/13/2021 11:29:52,What were the takeaways from Facebook's testification two years go?,No,Yes
10/13/2021 11:30:25, What is NLTK?  ,No,No
10/13/2021 11:30:43,Why is there a huge difference between the price of mutton and chicken meat?,No,No
10/13/2021 11:33:37,How is runtime polymorphism achieved? ,No,Yes
10/13/2021 11:35:01,what is the 20-30-50 rule?,No,No
10/13/2021 11:38:16,What impact would be observed if one dollar was equal to one ruppee?,Yes,Yes
